"Timestamp, Description",Interst/Alarm,Confusion/Understanding,Frusteration/Relief,Sorrow/Joy,Anger/Gratitude,Fear/Hope,Boredom/Surprise,Disgust/Desire
1620329156.46939,The robot was looking around and then it looked like it saw something that totally grossed it out. It then kept staring in confusion and surprise and then totally dismissed what was happening in a really nonchalant manner,5,1,3,3,3,3,5,1
1620329271.8323858,The robot was looking at me like I was telling it a sad story about myself. It had a look of care on its face. It then reached up both arms and looked up at me as if to try to give me a hug and comfort me.,2,5,4,3,3,3,3,3
1620933646.0537944,Blinked and moved head up and down.,2,2,3,3,3,3,3,3
1620933719.941767,"Made ""uh"" sound, while moving hand up and down.",2,3,2,3,3,3,3,3
1620933796.5274596,"Made ""uh"" sound, and moved head up and down.",2,5,4,4,4,4,3,3
1620933796.5274596,"Made ""uh"" sound, and moved head up and down.",2,5,4,4,4,4,3,3
1620934506.1418002,Raises head upward at a tilt.,1,2,3,3,3,3,4,3
1620934506.1418002,Raises head upward at a tilt.,1,2,3,3,3,3,4,3
1620934559.4357548,"Says ""oi"" and then ""um"". Sightly shakes head up and down.",2,3,2,3,2,3,3,2
1620934663.8111324,"Looks down and to the side, opens eyes widely looking in same direction. Then moves hand up and down, with bored eyes.",4,2,2,2,2,2,1,3
1620934817.7313988,"Says ""um"" with eyes turned into stars. Shakes head up and down slightly.",2,3,3,3,3,2,5,4
1620934918.9955094,"Says ""aw"" and moves left arm, then says ""um"" and move right arm.",1,2,2,2,3,3,4,4
1620935027.470034,"Eyes are mostly closed and says  ""aw"".",3,3,3,2,3,3,2,3
1620935098.9348276,"Eyes look slightly sad and says ""oi"", while shacking head up/down slightly.",2,3,3,1,3,3,2,2
1620935239.902443,"Eyes are barely open. Says ""hm"", ""oi"", and ""aw"", while like up and the the left.",3,3,2,1,2,3,1,2
1620935378.7510567,Slight moves arm and head. Eyes open wide.,4,2,3,3,3,3,5,4
1620935473.1138062,"Wobbles head a tiny amount, after making a confused look.",2,1,3,3,3,3,3,3
1620935616.9191256,Moves arm up and blinks.,2,3,3,3,3,3,3,4
1620935676.655886,waves right arm. Moves head up and down slightly.,2,4,3,3,3,3,4,3
1620935755.9738705,"Moves left arm up and says ""hm"". Then drops arm and says ""aw"".",2,3,3,3,3,3,4,4
1620935828.1042309,Starts with confused look. Eyes then turn to stars and looks up and to the right.,4,1,4,4,4,4,5,3
1621364935.0191987,"Robot made a sound that sounds like an ""ah"" and together with his eyes it seemed like a person that is not interested in a story i've told them and responds desinterested.",3,3,2,3,3,3,1,2
1621365093.7783566,"sounds like he said ""hm"" as a confirmation and then lifted his arms and slightly tilted his head and said ""fun"" the eyes looked friendly and happy",1,4,3,5,3,4,4,4
1621365281.078141,"he said ""hm"" and nodded slightly and his eyes blinked once
it felt like a confirming and understanding ""hm"" during a conversation ",2,5,3,3,3,3,3,3
1621365396.1686733,"he tilted his head to the right and had hearts in his eyes while he said ""hm"" when he moved his left arm just a tiny bit he had confused looking eyes. I was confused by that switch of expression as I cannot imagine a situation where that would happen",2,1,3,4,3,3,5,4
1621365634.6764696,he had very angry looking eyes and lifted his left arm,5,3,2,3,1,3,4,2
1621365706.7058723,he lifted his left arm then both arms while he tilted his head slightly as if he was giving someone a hug the eyes looked kind of sleepy after he put his arms down again he lifted his right arm once more after that,2,3,3,2,3,3,2,3
1621365901.8798208,he had hearts in his eyes and just slightly moved the right arm and looked up,1,3,5,5,5,5,3,4
1621365998.4054132,"He said ""hm"" followed by a ""hey"". when he said hey his eyes changed into a mechanical looking shape with a frame",5,1,3,3,2,3,3,3
1621366141.7856073,"he nodded gently a few times and his eyes looked like someone who is expressing empathy hearing a sad or unfortunate story he then lifted his right arm up fast and said ""hey""",1,4,2,2,3,3,3,3
1621366263.0231216,"he tilted his head up and moved it towards the right while having a very arrogant, bored eye expression. he then moved his head back to face me and lifted his left arm twice while he was raising an eyebrow. it reminds me of someone being told a lie and knowing its a lie and they call it out.",3,3,2,3,3,3,2,2
1621366445.6549408,"he lifted both arms, nodded a little and had a very bored eye expression",3,3,3,3,3,3,1,3
1621366643.4770746,"he said ""hm"" twice, the first time he had angry looking eyes with yellow flames as pupils and then the second time he looked away still with an upset eye expression (without flames)",5,3,2,3,1,3,3,2
1621366772.2129629,he lifted his right arm as if he was shaking hands with someone. eyes looked normal/friendly,2,3,3,4,3,3,3,3
1621367410.2746918,he nodded slightly and blinked once,2,4,3,3,3,3,3,3
1621367472.146887,"he nodded a few times and said ""hm"" while he blinked",1,5,3,3,3,3,3,3
1621367536.3341408,"very angry looking eyes and he lifted his left arm and said ""ah"" and then his right arm and said ""ah""",4,3,1,3,1,3,3,2
1621367621.1821702,"lifted his arms slightly and moved his head slowly to the right and nodded and said ""hm"" ",2,4,2,3,3,3,3,3
1621367710.4105153,he lifted his left arm twice while nodding as if he is pointing towards something to show me,2,4,3,3,3,3,3,3
1621367794.2016954,he lifted his right arm for a while and nodded slightly and blinked a few times as if he is showing someone the way,2,4,3,3,3,3,3,3
1621367890.2070472,"he said ""ha"" and ""hm"" while having an eye expression i cannot interpret. it is mechanical looking and has two frames",4,2,3,3,3,3,3,3
1630352955.4349294,test,1,1,1,1,1,1,1,1
1630361059.518308,turning aroung the head and eyes looked red,3,3,2,3,1,3,3,3
1630361059.518308,turning aroung the head and eyes looked red,3,3,2,3,1,3,3,3
1630362057.3722026,I saw the robot blink its eyes and reach out it's hand as if to welcome me or gesture for me to keep talking to it as it's invested in the conversation.,1,4,3,3,5,3,3,5
1630363136.5916212,"The robot started off uneasy or queezy like it was sick or worried, then absolute panic that something had gone horribly wrong. This combination looked like the process of throwing up.",5,3,3,3,3,2,3,1
1630367096.5948489,The robot was looking angrily at me,4,3,2,3,2,3,3,1
1630367302.5732996,It squinted and then opened eyes normally,2,4,4,3,3,4,4,3
1630418987.6985118,"It made a ""hmm"" noise, raised then lowered it's head, and is now just occasionally blinking. ",2,3,3,3,3,3,2,3
1630419112.4129071,"It raised it's hand, looking at it, before lowering it and looking bashful. It was kind of like it was going to shake my hand as a greeting, but got shy.It also made sorta a ""hey"" sound.",2,4,3,4,4,3,4,4
1630420643.1494548,raised arms and gave a happy noise. moved head up and down,2,4,4,5,5,4,5,3
1630421538.5235941,Glitched out?,3,3,3,3,3,3,3,3
1630428115.8245752,"The robot's eyes looked inward quickly and then it looked somewhat happy afterward and made an ""um"" sound.",4,2,4,4,3,3,4,3
1630436521.7557144,It didn't really move. It just nodded its head a little and then blinked a few times. Not sure what that was.,2,4,3,3,3,3,2,3
1630436685.1394014,"This time it kind of screamed ""Ah!"" It then had what I would assume were wide eyes. I think it was startled or scared of something.",5,3,3,3,3,1,5,3
1630436872.6859088,"The robot nodded and said, ""Hm"" I think it was showing that it uderstood something.",2,5,3,3,3,3,3,4
1630436981.4530704,"This time it nodded twice and made the ""Hm."" sound. I think it was understanding something. Or maybe trying to hurry along a conversation because it was bored.",3,5,3,3,3,3,2,3
1630437851.7216175,indifference and apathy,3,1,3,3,3,3,1,3
1630442398.0877593,"A jerk of the arms and looking with wide eyes, as if something unexpexted appeared before it",3,1,2,3,2,2,5,2
1630443524.5338647, nice reaction,3,4,3,3,3,4,3,3
1630444106.408374,It moved its hand and turned its head,2,5,5,4,5,4,3,3
1630445499.9557931,Interesting Robot. Said me Hi.,2,4,4,4,3,3,3,3
1630445499.9557931,Interesting Robot. Said me Hi.,2,4,4,4,3,3,3,3
1630445499.9557931,Interesting Robot. Said me Hi.,2,4,4,4,3,3,3,3
1630448369.9582355,the robot said hi and nodded its head,3,3,3,3,3,3,3,3
1630448831.5201986,The robot lifted both arms and said hi.,2,4,3,4,4,4,2,3
1630512286.9349253,"It began with a display of ""puppy eyes"" and then seemed to aquired lifeless eyes and then stopped.",2,1,4,2,2,3,1,4
1630512286.9349253,"It began with a display of ""puppy eyes"" and then seemed to aquired lifeless eyes and then stopped.",2,1,4,2,2,3,1,4
1630514384.4252708,The robot threw his arms up and then down and then nodded his head a few times. I would describe this as exasperation or maybe exhaustion. It might be more adequately either if the nodding is more exaggerated.,3,3,2,3,2,2,2,2
1630514784.702518,The lil guy bobbed his head like he was engaging in conversation,2,4,3,3,3,3,3,3
1630515062.8258655,confusion,1,1,3,3,3,3,5,3
1630515199.41789,"He waved at me, but seemed bored.",3,3,3,2,3,3,1,1
1630518561.3281024,It looked surprised and wide-eyed.,3,2,1,1,1,1,1,1
1630520960.1284943,angery,3,3,1,3,1,3,3,1
1630523958.2584994,The robot's eyes turned red and it waved at me.,3,3,4,4,3,3,4,3
1630525396.3391342,I saw the robot move its head up and download while blinking with wide eyes. It also waved its hand up and down,4,3,3,2,4,4,5,4
1630525628.3594124,"tilted its head, made pleading eyes",2,1,3,1,3,3,4,3
1630525750.0329669,"tilted its head and waved its arms a several times, eyes closing more each time. Looked as if it was falling asleep before my very eyes",3,1,5,2,5,3,1,3
1630525750.0329669,"tilted its head and waved its arms a several times, eyes closing more each time. Looked as if it was falling asleep before my very eyes",3,1,5,2,5,3,1,3
1630539504.4339836,"tossed hands up, looked frustrated",4,3,1,3,2,3,2,2
1630598075.8365963,Robot moved it's head up and down and eyes began to blink.,1,2,4,2,4,4,2,3
1630600653.376574,It was trying to show emotion for something adorable,2,5,1,3,4,4,3,5
1630601245.3423378,The robot leaned its head to both sides ad blinked with curiosity. ,1,1,3,4,3,5,4,5
1630601534.3583376,Sadness,3,2,4,1,4,3,2,3
1630604845.579712,The robot's eyes got wide and it nodded its head,4,3,3,2,3,2,4,3
1630608163.2936442,the robot was puzzled,1,1,1,1,1,1,1,1
1630609187.173964,"The robot was blinking and putting his little arms up and down, almost like a wave or a greeting.",2,4,3,4,4,4,3,3
1630609385.9630578,"The robot tilted his/her head to my left, nodded and blinked a few times. Seeming to see me sitting here and maybe a little curious about what I was doing. The light on its chest seems like a heartbeat and it looked like it sped up just a little bit while reacting.",1,2,4,5,3,3,4,4
1630614470.4521644,the robot seemed to greet me,2,4,4,4,4,3,4,3
1630614855.3578672,The robot rotated it's right arm forward and up.,1,4,2,3,2,2,3,3
1630679515.4492261,"robot first looked down and to the side, it wiggled it's head a little, slight nods, then looked forward, blinking every few seconds. ",4,2,3,2,3,2,4,3
1630680537.3115191,"The robot raised an arm and looked around. I'd almost say it waved at me, then gathered some information about the room",1,2,4,4,5,5,2,5
1630685089.4474115,The robot nodded its head briefly and then cocked it from side to side. Its eyes blinked normally.,3,2,3,3,3,3,1,3
1631117750.6215045,I heard it say AAh!,4,3,3,2,2,2,5,3
1631125906.768537,"The robot said, ""Hey"" and moved its head up & down.",3,1,3,2,3,3,1,3
1631125906.768537,"The robot said, ""Hey"" and moved its head up & down.",3,1,3,2,3,3,1,3
1631134897.8837693,"confused
",2,2,2,2,3,3,3,3
1631134897.8837693,"confused
",2,2,2,2,3,3,3,3
1631134897.8837693,"confused
",2,2,2,2,3,3,3,3
1631134897.8837693,"confused
",2,2,2,2,3,3,3,3
1631134897.8837693,"confused
",2,2,2,2,3,3,3,3
1631134897.8837693,"confused
",2,2,2,2,3,3,3,3
1631138740.1669135,I saw a small wave and movement of the head. ,2,4,4,4,3,4,3,3
1631207959.0375462,Head move up and down. Arms move front to back,1,3,2,4,3,3,3,3
1631208073.7205338,One arm move. Make sound. Eyes turn into stars.,4,4,2,4,3,3,5,3
1632150044.0726156,Robot made some incomprehensible sounds and moved its arm up and down,2,3,3,3,3,3,3,3
1632157386.6163726,interest look,3,2,1,1,1,1,1,1
1632160253.1134846,"The robot seemed to put its hand out for a hand shake and said ""hi(?)""",1,1,3,3,3,3,4,3
1632173199.8614142,"The Robots eyes became super wide and looked at me as though it was surprised at what I had done. Kind of a ""what the heck are you doing. I can't believe you did that"" face. If there was movement then I did it wrong and only its head moved a little",4,3,3,4,3,2,4,4
1632173883.254045,"Made noises like ""hoi"" ""ha"" while looking mean and raising its left hand while looking right.",5,2,1,3,1,3,4,1
1632251303.130744,The robot nodded and its eyes got large. It made some sound when it nodded. Not exactly sure what it was saying though.,2,3,3,4,3,4,4,3
1632328290.1897418,"Sleepy expression, followed by tying to shake itself awake.",3,4,2,3,3,3,2,3
1632332672.7835379,"It appeared as if the robot was mildly confused; shrugging and making a ""hm"" sound.",3,2,3,3,3,3,2,3
1632430150.8714724,The robot looked away and seemed worried,4,2,3,3,3,2,4,3
1633113586.5666468,f,3,3,3,3,3,3,3,3
1633113666.652171,"Misty gives a hmm sound, eyes turn to stars, then are disinterested.",4,4,2,3,3,3,1,3
1633113802.5774832,"Makes a sound like, ""Um, hi."" Waves hand.",4,2,3,3,3,2,4,3
1633113921.4229386,"Eyes look unamused, bobs body up and down and moves arms a little. Eyes might be a little sad.Makes sound like, ""um, ha.""",3,3,2,2,2,3,2,3
1633114084.2323844,"Eyes are cheery, moves head up and reaches out arms like a baby wanting to embrace their mom.",2,4,4,4,4,5,3,5
1633114198.325101,"Says, ""Um."" Moves arms back and forth and nods head.",1,5,4,4,4,4,4,4
1633114293.3644223,"Looks to their right with interest, but is disappointed when understanding. Shrugs with arms and eyes turn sad.",2,4,3,1,3,3,4,3
1633114428.170059,"Goes crazy-eyed, cross-eyed and lifts arm. Lets go of arm and it swings until it stops.",3,1,3,3,3,3,4,3
1633114533.9120915,"Nods head and says something like, ""ah-hah."" Understanding, listening nod.",1,5,3,3,3,3,4,3
1633114614.2257187,"Makes a thinking sound, ""hmm"" and eyes look like its thinking and taking in what you said. Moves arm a bit.",1,4,3,3,3,3,3,3
1633114717.4240215,"Looks like Misty is extending arms for a hug, only to be ignored by the person. She looks diagonally downward with sadness.",2,4,3,1,3,4,4,4
1633114835.1903036,"Nods head, eyes look curious at first, then determined. Says, ""huh."" ""uh-huh.""",2,4,3,3,2,3,3,4
1633114961.7362325,"Moves right arm, nods, blinks, and makes a confirming sound.",2,5,2,3,3,3,3,3
1633115063.6494496,Quietly nods with lots of understanding,2,5,4,3,3,4,3,3
1633115063.6494496,Quietly nods with lots of understanding,2,5,4,3,3,4,3,3
1633115174.0588129,Goes starry-eyed while nodding.,1,3,3,5,4,4,4,5
1633115255.4350746,"Nods, moves arm, gives understanding eyes, then eyes look like they are in pain. Empathetic.",2,5,3,1,4,2,4,4
1633115364.642758,Made a huh sound and eyes went blank with fire in them. Reads desire for me.,3,2,3,3,3,4,4,5
1633120205.2276628,It made it's eyes turn into fire said hey and raised it's left arm ,3,3,2,3,2,3,4,3
1633120546.5143578,Said huh and wiggled it's head and arms slightly.,3,1,3,3,3,3,4,3
1633120657.322273,Said hah and blinked ,2,3,4,3,3,3,4,3
1633120744.4970305,Wiggled its head slightly. No emotion was really communicated.,3,3,3,3,3,3,2,3
1633120865.302385,It wiggled it's head up and down slightly ,3,4,3,3,3,3,2,3
1633120951.3193188,Said heh lowered its head then looked up and to the left before returning to neutral positon,4,3,2,3,3,3,4,4
1633121087.9112053,said hah mm and then moved it's head left and right and raised and lowered its arm ,1,4,3,3,3,3,4,3
1633121167.1908715,moved it's head slowly in a variety of directions.,2,2,3,3,3,3,3,3
1633121263.0270474,Said ah switched to angry eyes then looked up and switched to sleepy eyes.,4,3,2,3,3,3,3,1
1633121390.0391152,Switched to crazy red eyes while wiggling head slightly,3,2,3,3,3,2,3,3
1633121469.9040596,Raised and lowered it's arms twice then switched to sleepy eyes and said hah.,3,3,4,4,3,3,3,4
1633121562.3278737,Moved it's head upwards slightly,2,3,3,3,3,3,3,3
1633121634.426753,Said hah and riased and loered it's arm,3,4,4,4,3,3,3,3
1633121713.9411807,Said hah hah while raising and lowering it's head,3,3,3,3,3,2,4,3
1633121713.9411807,Said hah hah while raising and lowering it's head,3,3,3,3,3,2,4,3
1633121811.2195141,made um sound while raising arms slightly and making happy eyes.,2,3,3,3,3,5,3,5
1633121890.2577372,"Said ah and um while moving its head left and then rigt, pupils where small.",3,1,2,3,3,3,3,3
1633121959.5246148,"Said ""ah"" while raising it's arm.",3,4,3,4,3,3,3,3
1633371901.3289552,confusion,2,1,4,3,3,4,4,4
1633372052.1952965,saying hi then getting pissed,2,3,1,4,1,3,4,4
1633372138.351581,curiosity ,1,2,4,3,3,4,4,3
1633372213.8699732,look of being caught doing something they know is wrong,4,4,3,1,3,2,4,3
1633372213.8699732,look of being caught doing something they know is wrong,4,4,3,1,3,2,4,3
1633372357.5351107,feeling awkward,4,3,3,3,3,3,2,1
1633372445.1713095,examination ,1,2,3,3,3,4,4,4
1633372521.4068458,head nod,2,3,3,4,3,4,3,3
1633372601.2845538,awkward hello,2,1,3,3,3,2,2,2
1633372708.3721068,sad goodbye,2,5,3,1,3,4,3,3
1633372777.6040866,awestruk,1,3,5,5,4,4,3,5
1633372844.241636,awkward,3,2,2,2,3,2,2,3
1633372936.077165,cheerful hello,1,4,4,5,3,3,3,3
1633372992.146664,trying to get a handshake but getting rejected,3,2,2,2,3,3,3,2
1633373096.044559,being happy to see someone/something,2,3,4,5,3,4,4,3
1633373176.7337465,surprised then embarrased,5,2,2,1,3,2,5,3
1633373282.5803473,surprise then anger,5,3,1,3,1,3,5,2
1633373363.4952807,confusion,2,1,3,3,3,3,4,3
1633373446.2856061,surprise then fear,5,2,3,3,3,1,5,3
1633373531.5608878,confusion,2,1,3,3,3,3,3,3
1633446333.5487232,Moved its head around with its eyebrows raised as if looking to see where it was,2,1,3,3,3,2,5,3
1633446468.9574735,"Moved its left hand up and down as if waving, the eyes kind fo scrunched up then got really big as if surprised",2,1,2,4,3,2,5,3
1633446573.1403475,"Moved both its arms about 15 degrees up then back, the eyes scrunched as if in frustration then as if it was tired and had a long day",3,3,1,2,1,2,3,2
1633446685.4774597,"Moved its left arm back and forth, the eyes changed as if it was happy, then the eyes got really big as if it was surprised",2,3,3,4,3,3,5,3
1633446786.747238,Turned its head to the left about 45 degrees with its right eyebrow quirked up as if it was confused or curious ,2,1,3,3,3,3,4,3
1633446895.0888562,"This one was interesting, the head moved slightly up and down but the pupils of the eyes changed to symbols of fire as if angry",3,3,1,3,1,3,3,1
1633447004.1235714,"Moved its head down and to the left, the eyes got narrow and low as if tired or maybe bored",3,3,3,2,3,3,1,3
1633447096.9776754,"Head moved up and to the right, then the eyes got really big as the head moved towards the left",2,2,3,3,3,4,5,4
1633447196.8691113,Eyes blinked once or twice as the head moved up and down,2,5,3,3,3,3,4,3
1633447284.8529055,"This one was hard to decipher, the head moved up and down slightly as both arms shook back and forth once ",1,5,3,3,3,4,3,3
1633447381.3514805,Head shook up and down as the right arm moved back and forwad,2,4,3,3,3,3,3,3
1633447476.4029553,"Eyes got really large as the pupils looked towards each other, then they got small and curved downwards and the left arm came up to 90 degrees and stayed for about 2 seconds",4,4,4,3,3,3,5,4
1633447607.9290974,"Eyes got big and cross eyed, then turned into fire symbols as the right arm came up to 90 degrees as if pointing",5,2,1,3,1,3,5,2
1633447698.7296202,Eyebrows became big and heavy and tilted as the head shook up and down,3,3,1,3,2,3,3,2
1633447779.2477615,Both arms came up as the eyes narrowed in an upward curve ,3,3,5,5,4,3,3,3
1633447865.3484826,"Lots of eye movement, the eyes shifted to a cut off circle as the eyebrows changed into a squiggly line like a worm",5,3,3,3,3,2,3,1
1633447953.0254047,"Head moved up and down as the eyes got big and crossed, the pupils became different sizes and the eyes pointed n different directions",4,1,3,3,3,2,4,3
1633448057.9930336,"Head moevement up and down, the eyes got cut off on the top of the circle and curved downward",3,3,3,3,3,3,1,3
1633457038.4666128,"made noise, rose left arm. lowered arm, slightly shook ehad while making another noise. ",2,4,3,3,3,3,2,4
1633457168.7581222,"rose right arm, made noise, slightly shook head. ",3,4,3,4,3,4,3,4
1633457258.4857624,"closed eyes, nodded head slightly. ",3,3,3,3,3,3,1,3
1633457344.3243065,"looked down left, raided eyebrows. nodded head slightly",4,4,2,3,2,3,3,1
1633457344.3243065,"looked down left, raided eyebrows. nodded head slightly",4,4,2,3,2,3,3,1
1633457439.6848261,"said ""huh"" looked up and right. straightened head, said ""hmm""",1,5,3,2,3,3,2,3
1633457539.4126232,"rose left arm, paused, lowered it. Said ""um"" while nodding head.",4,2,2,3,2,3,3,2
1633457618.4341927,"eyes became stars, head moved around a bit. ",1,3,3,3,3,3,4,3
1633457697.3618047,nodded head very slightly.,3,4,3,3,3,3,3,3
1633457767.107413,"Red eyes, ""um"". Eyes turned happy, left arm went up and down.",5,2,3,5,1,3,4,2
1633457882.8702126,rose and lowered right arm while laughing once. Head turned up to the right. Eyes became flame and it moved forward slightly. ,1,1,1,3,1,3,3,3
1633457998.3932464,"moved right arm slightly, nodded head slightly, said ""huh?""",1,1,3,3,3,3,3,3
1633458073.6949112,"made noise, nodded head slightly. moved right arm slightly",3,4,3,3,3,3,3,3
1633458162.1123712,"rose arm, rose head up and right. made noise. closed eyes briefly. lowered head slowly.",2,5,3,2,3,4,3,3
1633458288.547366,nodded head very slightly. This is a repeated action I saw before.,3,4,3,3,3,3,3,3
1633458353.156978,"scrunched eyes, nodded head slightly. made noise. Rose both arms, then lowered them.",3,1,2,2,3,4,3,4
1633458481.9069781,nodded head very slightly,3,4,3,3,3,3,3,3
1633458535.0984411,said 'hm' and nodded head slightly. ,3,4,3,2,3,3,2,3
1633458592.521924,"made noise, nodded head slightly. ",3,3,3,3,3,3,3,3
1633458663.4385052,"said ""hm"" and nodded head. Said ""ah"" and moved arm.",3,4,3,3,3,3,1,3
1633458731.9183874,nodded head slightly,3,4,3,3,3,3,3,3
1633458871.4134405,"nodded head, moved right arm slightly. looked down right.",2,3,3,3,3,3,4,4
1633532969.9875097,It said hi and its eyes changed.,2,3,3,3,3,3,4,3
1633533142.219311,"It had angry eyes and moved its head up a little. Then the eyes were surprised, and then the eyes had stars.",4,2,3,3,1,2,5,3
1633533276.0908246,"It moved its head up, had little heart eyes, and moved its arms a little bit",3,3,3,4,4,4,3,4
1633533354.0035388,It moved its head down a little bit and blinked a couple times.,3,2,3,3,3,3,2,3
1633533433.9682357,"It said ""hm"" and moved its head up and to the right. It also blinked a couple times.",2,4,3,3,3,3,3,3
1633533512.9649475,"It made a noise, moved both of its arms, and then just one arm. It also nodded its head.",2,4,3,3,4,3,3,3
1633533593.53465,"It turned its head to the right and said ""hm."" Then it moved its head back, the eyes changed to starts, and the arms moved a little bit. It nodded its head up and down.",4,2,2,3,3,3,4,3
1633533710.198118,It said something I could not understand and nodded its head slightly. ,2,4,3,3,4,3,3,3
1633533774.3522773,"It moved its head a little, had heart eyes that turned into eyes looking down and to the right. ",3,3,3,4,4,4,3,4
1633533888.7829428,"It said something, moved both of its arms up, and had squinty eyes.",2,3,4,4,4,4,3,5
1633533983.5189896,It moved its arms up and had surprised eyes. The eyes got bigger and it said a couple things I could not understand.,5,2,3,3,2,2,5,3
1633534090.5408156,"It moved its right arm, lifted its head, and made a questioning noise.",4,2,3,2,3,3,3,3
1633534172.2332745,"It waved at me, turned its head slightly and said something",2,3,3,4,3,3,3,3
1633534238.7022398,"It moved its arm, nodded a couple times, and said something ",2,5,3,3,4,3,3,3
1633534326.678559,It waved at me with its left arm nodded a couple times and said something.,2,3,3,4,3,3,3,3
1633534403.1337254,It said hm and turned its head. Then it turned its head down and had angry eyes.,2,1,1,3,1,3,3,2
1633534492.803137,"It moved both its arms up, moved them back down, and nodded sightly ",1,3,4,5,4,4,3,4
1633534568.4002564,It turned its head to the right and had cute little happy eyes.,2,3,3,5,4,4,3,3
1633534646.3991084,"It said ""hum"" a couple times, nodded slightly and looked to the right. Its arm moved a little too.",2,4,3,3,3,3,2,3
1633534729.9228733,"It was nodding its head and the right arm moved up. It had sleepy eyes, then loading eyes, then droopy eyes.",4,2,3,2,3,3,1,3
1633541165.900363,The robot tilted its head to the right and blinked a few times,3,1,3,3,3,4,3,3
1633541344.1531355,"The robot's eyes were half open and it said ""Oy, um,"" before lifting its left arm up with eyes wide open and left eyebrow up.",3,2,3,3,3,3,1,2
1633541553.9387417,"The robot squinted its eyes and said, ""Huh?"" and then lifted its left arm up with happy eyes.",2,1,3,5,3,3,3,3
1633541679.0314546,"The robot said, ""Huh?"" and moved both arms a little like a shrug. Then it said ""Um,"" with very wide eyes and moved its right arm a little.",3,2,3,3,3,2,5,3
1633541844.4334884,"The robot's eyes went wide and it said ""Oy,"" and moved it's head up ad down a little",4,3,3,3,3,3,5,3
1633541969.812961,"The robot moved its head up and down and said ""Ah,"" and then its eyes changed to tired looking ones for a second before changing back to normal",3,4,3,3,3,3,1,3
